archetype,category,attribute,base_stat,cap_stat,cost_tier
Finisher,Pace,Aceleracion,75,95,Cheapest
Finisher,Pace,Sprint,70,95,Expensive
Finisher,Scoring,Posicionamiento,80,99,Cheapest
Finisher,Scoring,Definicion,75,99,Cheapest
Finisher,Scoring,Potencia Tiro,75,97,Cheap
Finisher,Scoring,Tiros Lejanos,60,88,Expensive
Finisher,Scoring,Voleas,75,95,Cheapest
Finisher,Scoring,Penales,75,92,Cheapest
Finisher,Passing,Vision,65,84,Expensive
Finisher,Passing,Centros,55,75,Expensive
Finisher,Passing,Precision TL,65,82,Expensive
Finisher,Passing,Pase Corto,70,88,Cheap
Finisher,Passing,Pase Largo,50,75,Expensive
Finisher,Passing,Efecto,70,85,Cheap
Finisher,Ball Control,Agilidad,72,92,Cheap
Finisher,Ball Control,Balance,75,88,Expensive
Finisher,Ball Control,Reacciones,75,96,Cheap
Finisher,Ball Control,Control Balon,75,95,Cheap
Finisher,Ball Control,Regates,70,92,Cheap
Finisher,Ball Control,Compostura,75,96,Cheapest
Finisher,Defending,Intercepciones,60,75,Most Expensive
Finisher,Defending,Precision Cabeza,75,92,Cheap
Finisher,Defending,Percepcion Defensiva,55,70,Most Expensive
Finisher,Defending,Robos,50,68,Most Expensive
Finisher,Defending,Barridas,40,60,Most Expensive
Finisher,Physical,Salto,65,85,Expensive
Finisher,Physical,Resistencia,65,88,Cheap
Finisher,Physical,Fuerza,70,90,Cheap
Finisher,Physical,Agresividad,65,82,Expensive
Target,Pace,Aceleracion,70,90,Cheapest
Target,Pace,Sprint,65,92,Expensive
Target,Scoring,Posicionamiento,80,95,Cheapest
Target,Scoring,Definicion,72,96,Cheapest
Target,Scoring,Potencia Tiro,75,98,Cheapest
Target,Scoring,Tiros Lejanos,65,86,Expensive
Target,Scoring,Voleas,72,92,Cheap
Target,Scoring,Penales,75,88,Cheap
Target,Passing,Vision,65,82,Expensive
Target,Passing,Centros,50,70,Most Expensive
Target,Passing,Precision TL,65,75,Expensive
Target,Passing,Pase Corto,75,90,Cheap
Target,Passing,Pase Largo,50,78,Expensive
Target,Passing,Efecto,55,78,Expensive
Target,Ball Control,Agilidad,70,80,Most Expensive
Target,Ball Control,Balance,75,82,Expensive
Target,Ball Control,Reacciones,75,92,Cheap
Target,Ball Control,Control Balon,70,92,Cheap
Target,Ball Control,Regates,70,85,Expensive
Target,Ball Control,Compostura,72,95,Cheap
Target,Defending,Intercepciones,50,72,Most Expensive
Target,Defending,Precision Cabeza,75,99,Cheapest
Target,Defending,Percepcion Defensiva,50,75,Most Expensive
Target,Defending,Robos,45,72,Most Expensive
Target,Defending,Barridas,40,62,Most Expensive
Target,Physical,Salto,75,98,Cheapest
Target,Physical,Resistencia,60,90,Cheap
Target,Physical,Fuerza,75,99,Cheapest
Target,Physical,Agresividad,65,96,Cheapest
Spark,Pace,Aceleracion,75,99,Cheapest
Spark,Pace,Sprint,75,99,Expensive
Spark,Scoring,Posicionamiento,80,90,Cheap
Spark,Scoring,Definicion,65,88,Cheap
Spark,Scoring,Potencia Tiro,65,88,Cheap
Spark,Scoring,Tiros Lejanos,65,84,Expensive
Spark,Scoring,Voleas,72,82,Expensive
Spark,Scoring,Penales,75,82,Expensive
Spark,Passing,Vision,75,88,Cheap
Spark,Passing,Centros,75,96,Cheapest
Spark,Passing,Precision TL,65,84,Expensive
Spark,Passing,Pase Corto,75,92,Cheap
Spark,Passing,Pase Largo,65,82,Expensive
Spark,Passing,Efecto,75,90,Cheap
Spark,Ball Control,Agilidad,75,99,Cheapest
Spark,Ball Control,Balance,75,96,Cheapest
Spark,Ball Control,Reacciones,75,94,Cheap
Spark,Ball Control,Control Balon,75,96,Cheap
Spark,Ball Control,Regates,75,99,Cheapest
Spark,Ball Control,Compostura,72,88,Expensive
Spark,Defending,Intercepciones,55,68,Most Expensive
Spark,Defending,Precision Cabeza,50,72,Most Expensive
Spark,Defending,Percepcion Defensiva,50,65,Most Expensive
Spark,Defending,Robos,55,66,Most Expensive
Spark,Defending,Barridas,45,62,Most Expensive
Spark,Physical,Salto,55,80,Expensive
Spark,Physical,Resistencia,65,92,Cheap
Spark,Physical,Fuerza,65,78,Most Expensive
Spark,Physical,Agresividad,50,78,Expensive
Magician,Pace,Aceleracion,75,95,Cheapest
Magician,Pace,Sprint,70,94,Expensive
Magician,Scoring,Posicionamiento,80,92,Cheap
Magician,Scoring,Definicion,75,92,Cheap
Magician,Scoring,Potencia Tiro,70,90,Cheap
Magician,Scoring,Tiros Lejanos,65,94,Cheapest
Magician,Scoring,Voleas,72,88,Cheap
Magician,Scoring,Penales,75,90,Cheap
Magician,Passing,Vision,75,96,Cheapest
Magician,Passing,Centros,65,90,Cheap
Magician,Passing,Precision TL,65,94,Cheapest
