archetype,category,attribute,base_stat,cap_stat,cost_tier
Finisher,Pace,Aceleracion,75,95,Cheapest
Finisher,Pace,Sprint,75,95,Expensive
Finisher,Scoring,Posicionamiento,80,99,Cheapest
Finisher,Scoring,Definicion,75,99,Cheapest
Finisher,Scoring,Potencia Tiro,75,97,Cheap
Finisher,Scoring,Tiros Lejanos,60,88,Expensive
Finisher,Scoring,Voleas,75,95,Cheapest
Finisher,Scoring,Penales,75,92,Cheapest
Finisher,Passing,Vision,65,84,Expensive
Finisher,Passing,Centros,55,75,Expensive
Finisher,Passing,Precision Faltas,65,82,Expensive
Finisher,Passing,Pase Corto,70,88,Cheap
Finisher,Passing,Pase Largo,50,75,Expensive
Finisher,Passing,Efecto,70,85,Cheap
Finisher,Ball Control,Agilidad,75,92,Cheap
Finisher,Ball Control,Balance,75,88,Expensive
Finisher,Ball Control,Reacciones,75,96,Cheap
Finisher,Ball Control,Control Balon,75,95,Cheap
Finisher,Ball Control,Regates,70,92,Cheap
Finisher,Ball Control,Compostura,75,96,Cheapest
Finisher,Defending,Intercepciones,60,75,Most Expensive
Finisher,Defending,Precision Cabeza,75,92,Cheap
Finisher,Defending,Percepcion Defensiva,55,70,Most Expensive
Finisher,Defending,Robos,50,68,Most Expensive
Finisher,Defending,Barridas,40,60,Most Expensive
Finisher,Physical,Salto,65,85,Expensive
Finisher,Physical,Resistencia,65,88,Cheap
Finisher,Physical,Fuerza,70,90,Cheap
Finisher,Physical,Agresividad,65,82,Expensive
Target,Pace,Aceleracion,65,90,Cheapest
Target,Pace,Sprint,68,92,Expensive
Target,Scoring,Posicionamiento,78,95,Cheapest
Target,Scoring,Definicion,74,96,Cheapest
Target,Scoring,Potencia Tiro,78,98,Cheapest
Target,Scoring,Tiros Lejanos,65,86,Expensive
Target,Scoring,Voleas,72,92,Cheap
Target,Scoring,Penales,70,88,Cheap
Target,Passing,Vision,62,82,Expensive
Target,Passing,Centros,50,70,Most Expensive
Target,Passing,Precision Faltas,55,75,Expensive
Target,Passing,Pase Corto,72,90,Cheap
Target,Passing,Pase Largo,52,78,Expensive
Target,Passing,Efecto,58,78,Expensive
Target,Ball Control,Agilidad,60,80,Most Expensive
Target,Ball Control,Balance,62,82,Expensive
Target,Ball Control,Reacciones,72,92,Cheap
Target,Ball Control,Control Balon,74,92,Cheap
Target,Ball Control,Regates,66,85,Expensive
Target,Ball Control,Compostura,76,95,Cheap
Target,Defending,Intercepciones,55,72,Most Expensive
Target,Defending,Precision Cabeza,82,99,Cheapest
Target,Defending,Percepcion Defensiva,58,75,Most Expensive
Target,Defending,Robos,55,72,Most Expensive
Target,Defending,Barridas,42,62,Most Expensive
Target,Physical,Salto,76,98,Cheapest
Target,Physical,Resistencia,70,90,Cheap
Target,Physical,Fuerza,82,99,Cheapest
Target,Physical,Agresividad,78,96,Cheapest
Spark,Pace,Aceleracion,84,99,Cheapest
Spark,Pace,Sprint,82,99,Expensive
Spark,Scoring,Posicionamiento,72,90,Cheap
Spark,Scoring,Definicion,68,88,Cheap
Spark,Scoring,Potencia Tiro,70,88,Cheap
Spark,Scoring,Tiros Lejanos,62,84,Expensive
Spark,Scoring,Voleas,64,82,Expensive
Spark,Scoring,Penales,65,82,Expensive
Spark,Passing,Vision,70,88,Cheap
Spark,Passing,Centros,76,96,Cheapest
Spark,Passing,Precision Faltas,64,84,Expensive
Spark,Passing,Pase Corto,74,92,Cheap
Spark,Passing,Pase Largo,62,82,Expensive
Spark,Passing,Efecto,72,90,Cheap
Spark,Ball Control,Agilidad,84,99,Cheapest
Spark,Ball Control,Balance,80,96,Cheapest
Spark,Ball Control,Reacciones,74,94,Cheap
Spark,Ball Control,Control Balon,78,96,Cheap
Spark,Ball Control,Regates,82,99,Cheapest
Spark,Ball Control,Compostura,70,88,Expensive
Spark,Defending,Intercepciones,50,68,Most Expensive
Spark,Defending,Precision Cabeza,55,72,Most Expensive
Spark,Defending,Percepcion Defensiva,48,65,Most Expensive
Spark,Defending,Robos,48,66,Most Expensive
Spark,Defending,Barridas,45,62,Most Expensive
Spark,Physical,Salto,60,80,Expensive
Spark,Physical,Resistencia,72,92,Cheap
Spark,Physical,Fuerza,58,78,Most Expensive
Spark,Physical,Agresividad,60,78,Expensive
Magician,Pace,Aceleracion,78,95,Cheapest
Magician,Pace,Sprint,76,94,Expensive
Magician,Scoring,Posicionamiento,75,92,Cheap
Magician,Scoring,Definicion,72,92,Cheap
Magician,Scoring,Potencia Tiro,72,90,Cheap
Magician,Scoring,Tiros Lejanos,74,94,Cheapest
Magician,Scoring,Voleas,70,88,Cheap
Magician,Scoring,Penales,72,90,Cheap
Magician,Passing,Vision,78,96,Cheapest
Magician,Passing,Centros,72,90,Cheap
Magician,Passing,Precision Faltas,76,94,Cheapest
Magician,Passing,Pase Corto,80,98,Cheapest
Magician,Passing,Pase Largo,74,92,Cheap
Magician,Passing,Efecto,80,98,Cheapest
Magician,Ball Control,Agilidad,82,98,Cheapest
Magician,Ball Control,Balance,78,95,Cheap
Magician,Ball Control,Reacciones,76,95,Cheap
Magician,Ball Control,Control Balon,82,99,Cheapest
Magician,Ball Control,Regates,84,99,Cheapest
Magician,Ball Control,Compostura,78,96,Cheap
Magician,Defending,Intercepciones,52,70,Most Expensive
Magician,Defending,Precision Cabeza,56,74,Most Expensive
Magician,Defending,Percepcion Defensiva,50,68,Most Expensive
Magician,Defending,Robos,50,68,Most Expensive
Magician,Defending,Barridas,44,62,Most Expensive
Magician,Physical,Salto,62,82,Expensive
Magician,Physical,Resistencia,70,90,Cheap
Magician,Physical,Fuerza,60,80,Expensive
Magician,Physical,Agresividad,62,80,Expensive
Creator,Pace,Aceleracion,74,92,Expensive
Creator,Pace,Sprint,72,90,Expensive
Creator,Scoring,Posicionamiento,74,90,Cheap
Creator,Scoring,Definicion,68,88,Cheap
Creator,Scoring,Potencia Tiro,72,88,Cheap
Creator,Scoring,Tiros Lejanos,72,90,Cheap
Creator,Scoring,Voleas,66,84,Expensive
Creator,Scoring,Penales,68,85,Cheap
Creator,Passing,Vision,84,99,Cheapest
Creator,Passing,Centros,76,94,Cheapest
Creator,Passing,Precision Faltas,75,92,Cheap
Creator,Passing,Pase Corto,84,99,Cheapest
Creator,Passing,Pase Largo,80,96,Cheapest
Creator,Passing,Efecto,78,95,Cheap
Creator,Ball Control,Agilidad,76,94,Cheap
Creator,Ball Control,Balance,74,90,Cheap
Creator,Ball Control,Reacciones,76,95,Cheap
Creator,Ball Control,Control Balon,80,98,Cheapest
Creator,Ball Control,Regates,78,95,Cheap
Creator,Ball Control,Compostura,78,95,Cheap
Creator,Defending,Intercepciones,58,78,Expensive
Creator,Defending,Precision Cabeza,58,76,Expensive
Creator,Defending,Percepcion Defensiva,56,75,Expensive
Creator,Defending,Robos,56,75,Expensive
Creator,Defending,Barridas,48,68,Most Expensive
Creator,Physical,Salto,62,80,Expensive
Creator,Physical,Resistencia,74,94,Cheap
Creator,Physical,Fuerza,62,82,Expensive
Creator,Physical,Agresividad,64,82,Expensive
Maestro,Pace,Aceleracion,70,88,Expensive
Maestro,Pace,Sprint,70,88,Expensive
Maestro,Scoring,Posicionamiento,70,86,Cheap
Maestro,Scoring,Definicion,66,84,Cheap
Maestro,Scoring,Potencia Tiro,74,92,Cheap
Maestro,Scoring,Tiros Lejanos,76,94,Cheapest
Maestro,Scoring,Voleas,68,86,Cheap
Maestro,Scoring,Penales,70,88,Cheap
Maestro,Passing,Vision,82,98,Cheapest
Maestro,Passing,Centros,76,94,Cheap
Maestro,Passing,Precision Faltas,78,95,Cheapest
Maestro,Passing,Pase Corto,84,99,Cheapest
Maestro,Passing,Pase Largo,84,99,Cheapest
Maestro,Passing,Efecto,78,95,Cheap
Maestro,Ball Control,Agilidad,72,90,Cheap
Maestro,Ball Control,Balance,72,90,Cheap
Maestro,Ball Control,Reacciones,80,98,Cheapest
Maestro,Ball Control,Control Balon,82,98,Cheapest
Maestro,Ball Control,Regates,76,94,Cheap
Maestro,Ball Control,Compostura,82,98,Cheapest
Maestro,Defending,Intercepciones,68,88,Cheap
Maestro,Defending,Precision Cabeza,62,80,Expensive
Maestro,Defending,Percepcion Defensiva,66,86,Cheap
Maestro,Defending,Robos,66,86,Cheap
