min_stat,max_stat,tier_cheapest,tier_cheap,tier_expensive,tier_most_expensive
1,1,1,1,1,2
2,2,1,1,1,2
3,3,1,1,1,2
4,4,1,1,1,2
5,5,1,1,1,2
6,6,1,1,1,2
7,7,1,1,1,2
8,8,1,1,1,2
9,9,1,1,1,2
10,10,1,1,1,2
11,11,1,1,1,2
12,12,1,1,1,2
13,13,1,1,1,2
14,14,1,1,1,2
15,15,1,1,1,2
16,16,1,1,1,2
17,17,1,1,1,2
18,18,1,1,1,2
19,19,1,1,1,2
20,20,1,1,1,2
21,21,1,1,1,2
22,22,1,1,1,2
23,23,1,1,1,2
24,24,1,1,1,2
25,25,1,1,1,2
26,26,1,1,1,2
27,27,1,1,1,2
28,28,1,1,1,2
29,29,1,1,1,2
30,30,1,1,1,2
31,31,1,1,1,2
32,32,1,1,1,2
33,33,1,1,1,2
34,34,1,1,1,2
35,35,1,1,1,2
36,36,1,1,1,2
37,37,1,1,1,2
38,38,1,1,1,2
39,39,1,1,1,2
40,40,1,1,1,2
41,41,1,1,1,2
42,42,1,1,1,2
43,43,1,1,1,2
44,44,1,1,1,2
45,45,1,1,1,2
46,46,1,1,1,2
47,47,1,1,1,2
48,48,1,1,1,2
49,49,1,1,1,2
50,50,1,1,1,2
51,51,1,1,1,2
52,52,1,1,1,2
53,53,1,1,1,2
54,54,1,1,1,2
55,55,1,1,1,2
56,56,1,1,1,2
57,57,1,1,1,2
58,58,1,1,1,2
59,59,1,1,1,2
60,60,1,1,1,2
61,61,1,1,2,3
62,62,1,1,2,3
63,63,1,1,2,3
64,64,1,2,3,4
65,65,1,2,3,4
66,66,1,2,3,4
67,67,1,2,3,5
68,68,1,2,3,5
69,69,1,2,3,5
70,70,2,3,4,6
71,71,2,3,4,6
72,72,2,3,4,6
73,73,2,3,4,6
74,74,2,3,4,6
75,75,3,4,6,8
76,76,3,4,6,8
77,77,3,4,6,8
78,78,3,4,6,8
79,79,3,4,6,8
80,80,3,5,7,10
81,81,3,5,7,10
82,82,3,5,7,10
83,83,3,5,7,10
84,84,3,5,7,10
85,85,6,8,11,15
86,86,6,8,11,15
87,87,6,8,11,15
88,88,6,8,11,15
89,89,6,8,11,15
90,90,8,11,15,20
91,91,8,11,15,20
92,92,8,11,15,20
93,93,10,11,20,25
94,94,10,11,20,25
95,95,15,13,25,30
96,96,20,16,30,35
97,97,25,19,35,40
98,98,30,22,40,45
99,99,35,24,45,50
